network,episode,outcome
1,1,win
1,2,win
1,3,win
1,4,win
1,5,win
1,6,win
1,7,fail
1,8,fail
1,9,win
1,10,win
1,11,win
1,12,win
1,13,win
1,14,win
1,15,win
1,16,win
1,17,win
1,18,win
1,19,win
1,20,fail
1,21,win
1,22,win
1,23,fail
1,24,win
1,25,win
1,26,fail
1,27,win
1,28,win
1,29,win
1,30,win
1,31,win
1,32,win
1,33,win
1,34,win
1,35,win
1,36,win
1,37,win
1,38,win
1,39,win
1,40,win
1,41,fail
1,42,win
1,43,win
1,44,win
1,45,win
1,46,fail
1,47,win
1,48,win
1,49,win
1,50,fail
1,51,win
1,52,win
1,53,win
1,54,fail
1,55,win
1,56,win
1,57,win
1,58,win
1,59,fail
1,60,win
1,61,win
1,62,fail
1,63,win
1,64,win
1,65,win
1,66,win
1,67,win
1,68,win
1,69,win
1,70,win
1,71,win
1,72,win
1,73,win
1,74,win
1,75,win
1,76,fail
1,77,win
1,78,win
1,79,win
1,80,win
1,81,win
1,82,win
1,83,win
1,84,win
1,85,win
1,86,win
1,87,win
1,88,win
1,89,win
1,90,fail
1,91,win
1,92,win
1,93,win
1,94,win
1,95,win
1,96,win
1,97,win
1,98,win
1,99,win
1,100,win
1,101,win
1,102,win
1,103,win
1,104,win
1,105,win
1,106,win
1,107,win
1,108,win
1,109,win
1,110,win
1,111,win
1,112,win
1,113,win
1,114,win
1,115,fail
1,116,win
1,117,win
1,118,win
1,119,win
1,120,win
1,121,win
1,122,fail
1,123,win
1,124,win
1,125,win
1,126,win
1,127,win
1,128,win
1,129,win
1,130,win
1,131,win
1,132,win
1,133,win
1,134,win
1,135,win
1,136,win
1,137,win
1,138,win
1,139,win
1,140,win
1,141,win
1,142,win
1,143,win
1,144,win
1,145,win
1,146,win
1,147,win
1,148,win
1,149,win
1,150,fail
1,151,win
1,152,win
1,153,win
1,154,win
1,155,fail
1,156,fail
1,157,fail
1,158,win
1,159,win
1,160,win
1,161,win
1,162,win
1,163,win
1,164,win
1,165,win
1,166,win
1,167,win
1,168,win
1,169,win
1,170,fail
1,171,win
1,172,win
1,173,win
1,174,win
1,175,win
1,176,win
1,177,win
1,178,win
1,179,win
1,180,win
1,181,win
1,182,win
1,183,win
1,184,win
1,185,win
1,186,win
1,187,win
1,188,fail
1,189,win
1,190,win
1,191,win
1,192,win
1,193,win
1,194,win
1,195,win
1,196,win
1,197,win
1,198,win
1,199,win
1,200,win
2,1,win
2,2,win
2,3,win
2,4,win
2,5,win
2,6,win
2,7,win
2,8,win
2,9,win
2,10,win
2,11,win
2,12,fail
2,13,win
2,14,fail
2,15,win
2,16,win
2,17,win
2,18,win
2,19,win
2,20,win
2,21,win
2,22,win
2,23,win
2,24,win
2,25,win
2,26,win
2,27,win
2,28,win
2,29,win
2,30,win
2,31,win
2,32,win
2,33,win
2,34,win
